grid_id,X,Y,CE_pred,CE_var,CE_corregida_pred,CE_corregida_var,Diferencia_prediccion,Relacion_varianzas
152,587188.6466012353,517553.45840564434,230.02717220969427,4620.363038770155,480.687478306679,3998.7305706399015,250.66030609698473,0.8654580899998457
153,587188.9346579574,517553.45840564434,229.98685832443192,4322.61340015757,480.6499742992193,3741.0407371080537,250.6631159747874,0.8654580899998329
154,587189.2227146797,517553.45840564434,230.06677292206183,3971.3072611260545,480.72431884939436,3436.9999970165686,250.65754592733254,0.8654580899998192
155,587189.5107714018,517553.45840564434,230.29345802721983,3553.1019620887796,480.9352040027229,3075.060837683914,250.64174597550308,0.8654580899998048
156,587189.798828124,517553.45840564434,230.6887534168638,3053.96558705319,481.30294730370844,2643.0792238961376,250.61419388684465,0.8654580899997888
157,587190.0868848461,517553.45840564434,231.2680629670789,2460.7111708758666,481.8418789782736,2129.6423899873307,250.5738160111947,0.8654580899997723
158,587190.3749415682,517553.45840564434,232.04298547441127,1767.254979742457,482.5627893868449,1529.485119310469,250.51980391243362,0.8654580899997586
159,587190.6629982904,517553.45840564434,233.05624621672163,1016.2290197818709,483.50542585541615,879.5036264627256,250.44917963869452,0.8654580899997396
160,587190.9510550125,517553.45840564434,234.74042804926006,689.006432754799,485.07222021422683,596.306191289498,250.33179216496677,0.8654580899997333
161,587191.2391117347,517553.45840564434,237.51359490629744,1253.0452738979632,487.65209734132895,1084.4581694309234,250.1385024350315,0.8654580899997328
162,587191.5271684568,517553.45840564434,240.4933991289568,1846.2156313454063,490.42420920966936,1597.822254031871,249.93081008071255,0.8654580899997462
163,587191.815225179,517553.45840564434,243.35668466266816,2300.1795275645386,493.0879237416814,1990.708980582542,249.73123907901322,0.8654580899997539
164,587192.1032819011,517553.45840564434,245.9052145020704,2635.620452035809,495.4588210512777,2281.0190423832373,249.5536065492073,0.8654580899997683
165,587192.3913386234,517553.45840564434,247.94327163102508,2899.9153817231204,497.35482559834463,2509.7552274270693,249.41155396731955,0.8654580899997781
166,587192.6793953455,517553.45840564434,249.31827733511813,3141.124028599617,498.63399340486274,2718.5112022442677,249.3157160697446,0.8654580899997892
167,587192.9674520676,517553.45840564434,249.98614123462946,3391.656808870562,499.2553071905785,2935.3368237399445,249.26916595594903,0.8654580899998032
168,587193.2555087898,517553.45840564434,250.0349598223328,3660.698386555136,499.3007231227193,3168.181033693411,249.2657633003865,0.8654580899998146
169,587193.5435655119,517553.45840564434,249.6402028793543,3940.0414211395764,498.93348073866673,3409.940722859661,249.29327785931244,0.8654580899998268
170,587193.8316222341,517553.45840564434,248.99399316392402,4216.0387176515615,498.33231184040227,3648.8048159440896,249.33831867647825,0.8654580899998386
171,587194.1196789562,517553.45840564434,248.2577171806767,4477.954434088015,497.6473542931876,3875.4818916321706,249.3896371125109,0.8654580899998496
172,587194.4077356784,517553.45840564434,247.54640886546954,4720.436788249615,496.98562416755055,4085.3402067235893,249.439215302081,0.8654580899998607
173,587194.6957924005,517553.45840564434,246.930970959111,4942.572127895705,496.4130822832655,4277.589033495216,249.48211132415452,0.8654580899998713
174,587194.9838491228,517553.45840564434,246.44618311007216,5145.987847929983,495.96208414730495,4453.636814032084,249.5159010372328,0.8654580899998815
175,587195.2719058449,517553.45840564434,246.0993112389437,5333.219403159576,495.6393892455943,4615.677878208848,249.54007800665062,0.8654580899998914
176,587195.5599625671,517553.45840564434,245.87798607556795,5506.696780967639,495.4334904461061,4765.815278264856,249.55550437053813,0.8654580899999009
177,587195.8480192892,517553.45840564434,245.75719526009823,5668.307652995604,495.32111875047474,4905.68271489345,249.5639234903765,0.8654580899999103
178,587188.3585445131,517553.7464623665,229.06540090833292,4746.802957893336,479.7927424650224,4108.159021544002,250.72734155668948,0.8654580899998494
179,587188.6466012353,517553.7464623665,228.8458946433336,4513.928086465781,479.5885357866935,3906.615580109293,250.74264114335992,0.8654580899998368
180,587188.9346579574,517553.7464623665,228.73259762901498,4246.487246779349,479.48313557427275,3675.156741806269,250.75053794525778,0.8654580899998245
181,587189.2227146797,517553.7464623665,228.76676422944334,3933.5534381689454,479.51492076265123,3404.325645509892,250.7481565332079,0.8654580899998128
182,587189.5107714018,517553.7464623665,228.9896927583448,3564.671075648881,479.7223111730882,3085.073420608609,250.7326184147434,0.8654580899997989
183,587189.798828124,517553.7464623665,229.44110245362657,3132.3966702685925,480.1422576126088,2710.958039372345,250.7011551589822,0.8654580899997858
184,587190.0868848461,517553.7464623665,230.16127453113913,2638.3146449305577,480.8122336963187,2283.3507534200235,250.65095916517956,0.8654580899997706
185,587190.3749415682,517553.7464623665,231.20406609001856,2109.973369036603,481.78234268354413,1826.093521916775,250.57827659352557,0.865458089999759
186,587190.6629982904,517553.7464623665,232.6794349463367,1648.1360127068367,483.154878330577,1426.3926456170584,250.4754433842403,0.8654580899997475
187,587190.9510550125,517553.7464623665,234.79770576460808,1473.10283063091,485.1255056728149,1274.9087621710362,250.3277999082068,0.8654580899997389
188,587191.2391117347,517553.7464623665,237.6116794208324,1661.2108298184776,487.74334536520075,1437.7083518615757,250.13166594436836,0.8654580899997357
189,587191.5271684568,517553.7464623665,240.80698778146095,1970.4161466971134,490.7159407330937,1705.3125948251352,249.90895295163276,0.865458089999742
190,587191.815225179,517553.7464623665,244.04340178779873,2231.8479529259876,493.72677668319005,1931.570866509172,249.68337489539132,0.8654580899997477
191,587192.1032819011,517553.7464623665,247.0135404919349,2418.2715688697235,496.4898967196483,2092.9126930947027,249.4763562277134,0.8654580899997554
192,587192.3913386234,517553.7464623665,249.38928931676483,2569.278820387319,498.7000558513881,2223.603140569257,249.31076653462324,0.8654580899997646
193,587192.6793953455,517553.7464623665,250.88420045419753,2743.9667865817914,500.090771682542,2374.7882541379013,249.2065712283445,0.8654580899997764
194,587192.9674520676,517553.7464623665,251.40524001946415,2979.641279063214,500.57549479010993,2578.7546502625746,249.17025477064578,0.865458089999788
195,587193.2555087898,517553.7464623665,251.11704263684706,3271.246008118195,500.30738476506156,2831.126322105448,249.1903421282145,0.8654580899998014
196,587193.5435655119,517553.7464623665,250.32214302004326,3588.1487555153535,499.5678896515494,3105.3923685835234,249.24574663150617,0.8654580899998129
197,587193.8316222341,517553.7464623665,249.3076939237743,3900.7865861863033,498.6241476572907,3375.967308377736,249.31645373351637,0.8654580899998251
198,587194.1196789562,517553.7464623665,248.28091230970722,4192.079688826085,497.66893272172433,3628.0692806185325,249.3880204120171,0.8654580899998365
199,587194.4077356784,517553.7464623665,247.36989486222976,4456.395691647878,496.8214131903364,3856.8237035771213,249.45151832810663,0.8654580899998473
200,587194.6957924005,517553.7464623665,246.6420677245467,4694.96440654254,496.1443156041502,4063.2949279036247,249.50224787960352,0.8654580899998583
201,587194.9838491228,517553.7464623665,246.12096290858773,4911.853199696243,495.6595317938637,4251.003088568855,249.538568885276,0.8654580899998688
202,587195.2719058449,517553.7464623665,245.79883014923223,5111.409021962685,495.35985168783554,4423.710289355977,249.5610215386033,0.8654580899998794
203,587195.5599625671,517553.7464623665,245.64665054299684,5297.033888070125,495.218279000155,4584.360831433857,249.57162845715817,0.8654580899998893
204,587195.8480192892,517553.7464623665,245.62273574880942,5470.902373755083,495.19603106712265,4734.836718965987,249.57329531831323,0.8654580899998987
