Nodo,X,Y,Variable,Escenario,Valor,Gi_estrella,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_Gi
11,587193.167,517562,NDVI,Original,0.7,0.3353053492012487,-2.1722693382429883,1.8921408186571376,0.792,Sin_clasificar
12,587191.101,517561,NDVI,Original,0.69,-0.14006425979292964,-2.041542695769596,1.9990989806808201,0.876,Sin_clasificar
13,587189.132,517559,NDVI,Original,0.67,0.3353053492012487,-1.8038578912725116,1.7614141761837416,0.672,Sin_clasificar
14,587187.054,517557,NDVI,Original,0.72,1.0483597626925056,-1.9345845337458998,1.7614141761837416,0.266,Sin_clasificar
15,587188.6,517555,NDVI,Original,0.72,1.7614141761837416,-2.041542695769596,1.7614141761837416,0.096,Sin_clasificar
16,587190.678,517557,NDVI,Original,0.71,0.5729901536983274,-2.04154269576959,1.761414176183752,0.63,Sin_clasificar
17,587192.647,517559,NDVI,Original,0.7,1.0483597626924845,-2.04154269576959,1.7614141761837416,0.342,Sin_clasificar
18,587194.713,517560,NDVI,Original,0.71,0.5729901536983169,-2.041542695769596,1.9990989806808201,0.584,Sin_clasificar
19,587196.236,517562,NDVI,Original,0.7,-0.3777490642900188,-2.041542695769601,1.7614141761837416,0.818,Sin_clasificar
20,587198.569,517564,NDVI,Original,0.71,-0.6154338687870868,-1.8038578912725174,1.7614141761837416,0.572,Sin_clasificar
21,587200.494,517565,NDVI,Original,0.72,1.0483597626925056,-2.04154269576959,1.7614141761837416,0.288,Sin_clasificar
22,587202.56,517567,NDVI,Original,0.7,1.0483597626925056,-2.0415426957695857,1.7614141761837416,0.33,Sin_clasificar
23,587204.529,517569,NDVI,Original,0.7,-1.566173086775433,-2.1722693382429883,1.7614141761837416,0.076,Sin_clasificar
24,587206.461,517570,NDVI,Original,0.67,-2.04154269576959,-2.04154269576959,1.7614141761837416,0.044,Sin_clasificar
25,587208.571,517572,NDVI,Original,0.66,-2.5169123047637583,-2.041542695769596,1.9990989806808201,0.016,Coldspot
26,587210.54,517574,NDVI,Original,0.71,0.09762054470415955,-1.9345845337459093,1.8921408186571376,0.96,Sin_clasificar
27,587212.65,517576,NDVI,Original,0.72,0.3353053492012487,-2.041542695769601,1.7614141761837416,0.74,Sin_clasificar
28,587214.441,517577,NDVI,Original,0.7,1.0483597626924952,-2.04154269576959,1.7614141761837416,0.298,Sin_clasificar
29,587215.987,517575,NDVI,Original,0.73,1.2860445671895844,-2.04154269576959,1.7614141761837416,0.124,Sin_clasificar
30,587214.196,517574,NDVI,Original,0.67,1.0483597626924952,-1.9345845337459044,1.892140818657142,0.3,Sin_clasificar
31,587212.086,517572,NDVI,Original,0.69,-0.37774906429000826,-1.8038578912725174,1.7614141761837416,0.728,Sin_clasificar
