Nodo,X,Y,Variable,Escenario,Valor,Z,Rezago_Z,Moran_local,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_LISA
40,587194.193,517557,Altura,Residual_ajustado,0.2819444444444421,0.07356533591072245,-0.15133440530205886,-0.011132966360895377,-0.9028683365127425,0.9518047744405409,0.972,Sin_clasificar
41,587192.224,517555,Altura,Residual_ajustado,0.4749999999999994,0.12393765951461709,-0.29656252533271155,-0.03675526528948061,-0.928226867102504,1.0439773878879626,0.78,Sin_clasificar
42,587190.146,517554,Altura,Residual_ajustado,-1.891666666666667,-0.49357629315470436,-0.03739873234476167,0.01845912767941241,-1.0563432002627702,0.8802116170586374,0.894,Sin_clasificar
43,587191.692,517552,Altura,Residual_ajustado,0.7350000000000041,0.19177722051209306,0.3239773906610167,0.06213148348973032,-0.9228430795413433,0.9260809277641416,0.702,Sin_clasificar
44,587193.77,517553,Altura,Residual_ajustado,2.614999999999994,0.6823094308015233,0.18622358123705807,0.12706210571567833,-1.175257805807718,0.9014209084451658,0.594,Sin_clasificar
45,587195.739,517555,Altura,Residual_ajustado,3.5365277777777706,0.9227557380762265,0.378589686827253,0.3493458058963293,-1.0652911931926976,1.0268782049224763,0.314,Sin_clasificar
46,587197.805,517557,Altura,Residual_ajustado,2.4319444444444462,0.6345463210821494,0.12403731698937334,0.07870742317250724,-0.9930215550557616,0.9883986559389077,0.786,Sin_clasificar
47,587199.328,517558,Altura,Residual_ajustado,2.6365277777777685,0.6879264884695826,-0.2264761412680106,-0.15579893658464367,-1.0261549117017668,1.115470204204725,0.588,Sin_clasificar
48,587201.661,517560,Altura,Residual_ajustado,-1.6323611111111092,-0.4259179275658761,-0.5239899424961203,0.22317671037331013,-0.9912073579805435,0.9230022353517183,0.48,Sin_clasificar
49,587203.586,517562,Altura,Residual_ajustado,-4.206944444444441,-1.0976817855841394,-0.4120836581156707,0.45233672565045346,-1.0307410006027877,0.8322596712099068,0.208,Sin_clasificar
