Nodo,Variable,Original,Residual_ajustado,Clase_estable
23,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
24,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
25,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
26,Suelo_CE,Hotspot,Sin_clasificar,FALSE
27,Suelo_CE,Hotspot,Sin_clasificar,FALSE
28,Suelo_CE,Hotspot,Sin_clasificar,FALSE
29,Suelo_CE,Hotspot,Sin_clasificar,FALSE
30,Suelo_CE,Hotspot,Sin_clasificar,FALSE
31,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
32,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
33,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
34,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
35,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
36,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
37,Suelo_CE,Coldspot,Sin_clasificar,FALSE
38,Suelo_CE,Sin_clasificar,Hotspot,FALSE
39,Suelo_CE,Sin_clasificar,Hotspot,FALSE
40,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
41,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
42,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
43,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
44,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
45,Suelo_CE,Sin_clasificar,Hotspot,FALSE
46,Suelo_CE,Sin_clasificar,Hotspot,FALSE
47,Suelo_CE,Sin_clasificar,Hotspot,FALSE
48,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
49,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
50,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
51,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
52,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
53,Suelo_CE,Sin_clasificar,Coldspot,FALSE
54,Suelo_CE,Sin_clasificar,Coldspot,FALSE
55,Suelo_CE,Hotspot,Sin_clasificar,FALSE
56,Suelo_CE,Hotspot,Sin_clasificar,FALSE
1,Suelo_CE_corregida_OLS,Hotspot,Hotspot,TRUE
2,Suelo_CE_corregida_OLS,Hotspot,Hotspot,TRUE
3,Suelo_CE_corregida_OLS,Hotspot,Sin_clasificar,FALSE
4,Suelo_CE_corregida_OLS,Hotspot,Sin_clasificar,FALSE
5,Suelo_CE_corregida_OLS,Sin_clasificar,Sin_clasificar,TRUE
6,Suelo_CE_corregida_OLS,Sin_clasificar,Sin_clasificar,TRUE
7,Suelo_CE_corregida_OLS,Sin_clasificar,Coldspot,FALSE
