DX_m,DY_m,N_celdas,Correlacion,RMSE
-4.25,2.25,136900,0.7414343118779637,0.21692278129460554
-4.25,2.5,136530,0.7423206963174558,0.21643235403123287
-4.25,2.75,136160,0.7426026450629768,0.21619111724759268
-4.25,3,135790,0.7424018928066967,0.2161500895587059
-4.25,3.25,135420,0.7419934622951556,0.21619672748961463
-4.25,3.5,135420,0.741819719943573,0.21624609203434536
-4.25,3.75,135050,0.7401108645229065,0.2168215430771621
-4.25,4,134680,0.7377967983409836,0.21763235353430066
-4.25,4.25,134310,0.7355125216210741,0.21842322039920192
-4.25,4.5,133940,0.7333550190927928,0.2191596100771712
-4.25,4.75,133570,0.73077744466896,0.2200620804593205
