Variable_suelo,Variable_cultivo,Escenario,Clase_distancia,n_pares,Distancia_media_m,Asociacion_cruzada_media,DE_asociacion
Suelo_Hv,Potasio_savia,Original,"(15.9,21.8]",258,18.87249627748128,-0.016933661895434424,0.6738055830457416
Suelo_Hv,Potasio_savia,Original,"(21.8,34.9]",255,26.95148510136917,-0.16391008409821328,0.8698923867204444
Suelo_Hv,Potasio_savia,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,-0.018762911492455906,0.6946916148367887
Suelo_Hv,Potasio_savia,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,0.014488632981066741,0.6879071224692116
Suelo_Hv,Potasio_savia,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,0.031358198323602135,0.6465525281660296
Suelo_Hv,Potasio_savia,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.03754643273210466,0.5972163182923386
Suelo_Hv,Potasio_savia,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.02746541001369674,0.6671743740513858
Suelo_Hv,Potasio_savia,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,-0.017767807010386417,0.7941654694663014
Suelo_K,Altura,Original,"[1.82,5.4]",257,3.6451846732626887,-0.11080454040685567,0.6460691177511819
Suelo_K,Altura,Original,"(5.4,8.07]",259,6.701124478376243,-0.10113414881722903,0.5426235566289914
Suelo_K,Altura,Original,"(8.07,11.2]",254,9.731098454161252,-0.09784091247055605,0.5771397287213296
Suelo_K,Altura,Original,"(11.2,15.9]",257,13.789795449215488,-0.08967209862081053,0.6615033886117083
Suelo_K,Altura,Original,"(15.9,21.8]",258,18.87249627748128,0.01222878500239224,0.7062318911215952
Suelo_K,Altura,Original,"(21.8,34.9]",255,26.95148510136917,0.40451826679372105,0.8590908807900123
Suelo_K,Altura,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.02847896394268373,0.6904433969621975
Suelo_K,Altura,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.059267901630704174,0.6799767089663863
Suelo_K,Altura,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,0.09467724666124727,0.6827566855248438
Suelo_K,Altura,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.0998500553655918,0.6729750989956389
Suelo_K,Altura,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.01894119444855218,0.6581272031315378
Suelo_K,Altura,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.014423007584958214,0.7378047463036297
Suelo_K,Calcio_savia,Original,"[1.82,5.4]",257,3.6451846732626887,-0.4672708198043149,0.7789487520518065
Suelo_K,Calcio_savia,Original,"(5.4,8.07]",259,6.701124478376243,-0.3151407604509823,0.6260392030721352
Suelo_K,Calcio_savia,Original,"(8.07,11.2]",254,9.731098454161252,-0.12931037504244294,0.4959239614762566
Suelo_K,Calcio_savia,Original,"(11.2,15.9]",257,13.789795449215488,-0.008134664991294591,0.5555852267667121
Suelo_K,Calcio_savia,Original,"(15.9,21.8]",258,18.87249627748128,0.29651236060385083,0.6819954786785671
Suelo_K,Calcio_savia,Original,"(21.8,34.9]",255,26.95148510136917,0.6767172535286564,0.7252913118956426
Suelo_K,Calcio_savia,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.04147776665990202,0.6350211210047515
Suelo_K,Calcio_savia,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.03765517736050287,0.718035179642478
Suelo_K,Calcio_savia,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,1.4081417751145444e-4,0.7498708563075525
Suelo_K,Calcio_savia,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.04046569281754536,0.635257511959481
Suelo_K,Calcio_savia,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.01184629018400541,0.6859115872029552
Suelo_K,Calcio_savia,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.01326092064101806,0.7025182435991543
Suelo_K,Diametro,Original,"[1.82,5.4]",257,3.6451846732626887,0.07768812830075135,0.7166190833983168
Suelo_K,Diametro,Original,"(5.4,8.07]",259,6.701124478376243,-0.04101060667214941,0.6798334974676177
Suelo_K,Diametro,Original,"(8.07,11.2]",254,9.731098454161252,-0.08379370781113438,0.7022512726489837
Suelo_K,Diametro,Original,"(11.2,15.9]",257,13.789795449215488,0.06657067529580628,0.9306579413728561
Suelo_K,Diametro,Original,"(15.9,21.8]",258,18.87249627748128,-0.07832884259984778,0.5826896137934373
Suelo_K,Diametro,Original,"(21.8,34.9]",255,26.95148510136917,0.04836087758920588,0.48965269349866514
Suelo_K,Diametro,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.05017054284206372,0.7841098722824942
Suelo_K,Diametro,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.02517964835822698,0.6635846962385498
