Funcion,r,Observado,Limite_inferior,Limite_superior,Posicion
G,2.805132520843301,1,0.8453194864181671,1,Dentro_envolvente
G,2.8147063519724593,1,0.8453194864181671,1,Dentro_envolvente
G,2.8242801831016173,1,0.8453194864181671,1,Dentro_envolvente
G,2.8338540142307753,1,0.8453194864181671,1,Dentro_envolvente
G,2.8434278453599333,1,0.8453194864181671,1,Dentro_envolvente
G,2.8530016764890913,1,0.8453194864181671,1,Dentro_envolvente
G,2.8625755076182493,1,0.8453194864181671,1,Dentro_envolvente
G,2.8721493387474073,1,0.8453194864181671,1,Dentro_envolvente
G,2.8817231698765653,1,0.8453194864181671,1,Dentro_envolvente
G,2.8912970010057233,1,0.8453194864181671,1,Dentro_envolvente
G,2.9008708321348813,1,0.8453194864181671,1,Dentro_envolvente
G,2.9104446632640393,1,0.8453194864181671,1,Dentro_envolvente
G,2.9200184943931973,1,0.8845837060461366,1,Dentro_envolvente
G,2.9295923255223553,1,0.8845837060461366,1,Dentro_envolvente
G,2.9391661566515133,1,0.8845837060461366,1,Dentro_envolvente
G,2.9487399877806713,1,0.8845837060461366,1,Dentro_envolvente
G,2.9583138189098297,1,0.8845837060461366,1,Dentro_envolvente
G,2.9678876500389877,1,0.8845837060461366,1,Dentro_envolvente
G,2.9774614811681457,1,0.8845837060461366,1,Dentro_envolvente
G,2.9870353122973037,1,0.8845837060461366,1,Dentro_envolvente
G,2.9966091434264617,1,0.8845837060461366,1,Dentro_envolvente
G,3.0061829745556197,1,0.8845837060461366,1,Dentro_envolvente
G,3.0157568056847777,1,0.8845837060461366,1,Dentro_envolvente
G,3.0253306368139357,1,0.8845837060461366,1,Dentro_envolvente
G,3.0349044679430937,1,0.8845837060461366,1,Dentro_envolvente
G,3.0444782990722516,1,0.8845837060461366,1,Dentro_envolvente
G,3.0540521302014096,1,0.8845837060461366,1,Dentro_envolvente
G,3.0636259613305676,1,0.8845837060461366,1,Dentro_envolvente
G,3.0731997924597256,1,0.8845837060461366,1,Dentro_envolvente
G,3.0827736235888836,1,0.8845837060461366,1,Dentro_envolvente
G,3.0923474547180416,1,0.8845837060461366,1,Dentro_envolvente
G,3.1019212858472,1,0.8845837060461366,1,Dentro_envolvente
G,3.111495116976358,1,0.8845837060461366,1,Dentro_envolvente
G,3.121068948105516,1,0.8845837060461366,1,Dentro_envolvente
G,3.130642779234674,1,0.8845837060461366,1,Dentro_envolvente
G,3.140216610363832,1,0.8845837060461366,1,Dentro_envolvente
G,3.14979044149299,1,0.8845837060461366,1,Dentro_envolvente
G,3.159364272622148,1,0.8845837060461366,1,Dentro_envolvente
G,3.168938103751306,1,0.8845837060461366,1,Dentro_envolvente
G,3.178511934880464,1,0.8845837060461366,1,Dentro_envolvente
G,3.188085766009622,1,0.8845837060461366,1,Dentro_envolvente
G,3.19765959713878,1,0.8845837060461366,1,Dentro_envolvente
G,3.207233428267938,1,0.8845837060461366,1,Dentro_envolvente
G,3.216807259397096,1,0.8845837060461366,1,Dentro_envolvente
G,3.226381090526254,1,0.8845837060461366,1,Dentro_envolvente
G,3.235954921655412,1,0.8845837060461366,1,Dentro_envolvente
G,3.2455287527845704,1,0.8845837060461366,1,Dentro_envolvente
G,3.2551025839137284,1,0.8845837060461366,1,Dentro_envolvente
G,3.2646764150428864,1,0.8845837060461366,1,Dentro_envolvente
G,3.2742502461720444,1,0.8845837060461366,1,Dentro_envolvente
G,3.2838240773012024,1,0.8845837060461366,1,Dentro_envolvente
G,3.2933979084303604,1,0.8845837060461366,1,Dentro_envolvente
G,3.3029717395595184,1,0.8845837060461366,1,Dentro_envolvente
G,3.3125455706886764,1,0.8845837060461366,1,Dentro_envolvente
G,3.3221194018178344,1,0.8845837060461366,1,Dentro_envolvente
G,3.3316932329469924,1,0.8845837060461366,1,Dentro_envolvente
G,3.3412670640761504,1,0.8845837060461366,1,Dentro_envolvente
G,3.3508408952053084,1,0.8845837060461366,1,Dentro_envolvente
G,3.3604147263344664,1,0.8845837060461366,1,Dentro_envolvente
G,3.3699885574636244,1,0.8845837060461366,1,Dentro_envolvente
G,3.3795623885927824,1,0.8845837060461366,1,Dentro_envolvente
G,3.389136219721941,1,0.8845837060461366,1,Dentro_envolvente
G,3.398710050851099,1,0.8845837060461366,1,Dentro_envolvente
G,3.408283881980257,1,0.8845837060461366,1,Dentro_envolvente
G,3.4178577131094148,1,0.8845837060461366,1,Dentro_envolvente
G,3.4274315442385728,1,0.8845837060461366,1,Dentro_envolvente
